date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-06-29,2.45,2.5,2.49,2.45,5735634.5,0.05,2.05,2.492,2.555,2.616,6058098.6,5935506.5,5006421.05
2018-06-28,2.45,2.48,2.44,2.43,4680164.0,-0.03,-1.22,2.514,2.574,2.624,5939985.8,5865536.95,4976609.78
2018-06-27,2.52,2.53,2.46,2.45,7526618.5,-0.06,-2.38,2.544,2.597,2.632,6232937.3,5715707.8,5047198.95
2018-06-26,2.54,2.54,2.52,2.48,6896945.5,-0.03,-1.18,2.574,2.62,2.641,5674436.2,5459952.75,4934872.1
2018-06-25,2.61,2.61,2.55,2.55,5451130.5,-0.05,-1.92,2.592,2.634,2.649,6029264.3,5147095.68,4857484.75
2018-06-22,2.59,2.61,2.6,2.57,5145070.5,0.01,0.39,2.618,2.644,2.654,5812914.4,5049184.08,4765704.25
2018-06-21,2.61,2.64,2.59,2.59,6144921.5,-0.02,-0.77,2.634,2.653,2.657,5791088.1,4986774.53,4675710.49
2018-06-20,2.6,2.62,2.61,2.58,4734113.0,0.0,0.0,2.65,2.663,2.661,5198478.3,4647256.58,4762082.49
2018-06-19,2.66,2.66,2.61,2.58,8671086.0,-0.07,-2.61,2.666,2.672,2.666,5245469.3,4545650.33,4829922.61
2018-06-15,2.68,2.69,2.68,2.67,4369381.0,0.0,0.0,2.676,2.68,2.673,4264927.05,4170757.88,4732325.96
2018-06-14,2.66,2.7,2.68,2.66,5035939.0,0.01,0.38,2.67,2.676,2.675,4285453.75,4077335.6,4840837.66
2018-06-13,2.68,2.69,2.67,2.67,3181872.5,-0.02,-0.74,2.672,2.673,2.676,4182460.95,4087682.6,4772099.19
2018-06-12,2.66,2.7,2.69,2.65,4969068.0,0.03,1.13,2.676,2.666,2.678,4096034.85,4378690.1,4952346.31
2018-06-11,2.65,2.67,2.66,2.64,3768374.75,0.01,0.38,2.678,2.662,2.68,3845831.35,4409791.45,4902244.95
2018-06-08,2.69,2.69,2.65,2.64,4472014.5,-0.04,-1.49,2.684,2.663,2.685,4076588.7,4567873.83,4997625.79
2018-06-07,2.7,2.72,2.69,2.69,4520975.0,0.0,0.0,2.682,2.663,2.688,3869217.45,4482224.43,4979205.18
2018-06-06,2.69,2.7,2.69,2.68,2749742.0,-0.01,-0.37,2.674,2.66,2.69,3992904.25,4364646.45,5013946.6
2018-06-05,2.69,2.7,2.7,2.67,3718050.5,0.01,0.37,2.656,2.658,2.691,4661345.35,4876908.4,5050776.71
2018-06-04,2.66,2.69,2.69,2.65,4922161.5,0.05,1.89,2.646,2.66,2.691,4973751.55,5114194.9,5255299.56
2018-06-01,2.64,2.66,2.64,2.63,3435158.25,-0.01,-0.38,2.642,2.665,2.69,5059158.95,5293894.05,5289718.61
2018-05-31,2.62,2.66,2.65,2.62,5139409.0,0.05,1.92,2.644,2.674,2.69,5095231.4,5604339.73,5330438.68
2018-05-30,2.63,2.63,2.6,2.6,6091947.5,-0.06,-2.26,2.646,2.678,2.69,4736388.65,5456515.78,5323051.03
